SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
824. KL-GLIED-PLAN       0301.13Elektromaschinenbauer                   
825. KL-GLIED-PLAN       0301.12Elektromaschinenbauer                   
826. KL-GLIED-PLAN       0302.12Elektroinstallateure                    
827. KL-GLIED-PLAN       0303.12Energieelektroniker                     
828. KL-GLIED-PLAN       0303.12BEnergieelektroniker - Betriebstechnik          
829. KL-GLIED-PLAN       0303.13Energieelektroniker                     
830. KL-GLIED-PLAN       0303.12EEEE - Anl.-/Betriebst.                   
831. KL-GLIED-PLAN       0301.11BEnergieelektroniker - Betriebstechnik          
832. KL-GLIED-PLAN       0303.13BEnergieelektroniker - Betriebstechnik          
833. KL-GLIED-PLAN       0303.13AEnergieelektroniker - Anlagentechnik          
834. KL-GLIED-PLAN       0303.13EEEE - Anl.-/Betriebst.                   
835. KL-GLIED-PLAN       0302.13Elektroinstallateure                    
836. KL-GLIED-PLAN       0304.12IE - Produktionstechnik                 
837. KL-GLIED-PLAN       0304.11PIE - Produktionstechnik                 
838. KL-GLIED-PLAN       0305.12IE - Gerätetechnik                      
839. KL-GLIED-PLAN       0306.13Elektromechaniker                       
840. KL-GLIED-PLAN       0307.11EFernmeldeanlagenelektroniker            
841. KL-GLIED-PLAN       0306.12Elektromechaniker                       
842. KL-GLIED-PLAN       0307.11FKomm.-el. - Funktechnik                 
843. KL-GLIED-PLAN       0305.13IE - Gerätetechnik                      
844. KL-GLIED-PLAN       0304.11MElektromechaniker                       
845. KL-GLIED-PLAN       0307.11KIKomm.-el. - Telekommunikationstechnik          
846. KL-GLIED-PLAN       0307.11KKomm.-el. - Telekommunikationstechnik          
847. KL-GLIED-PLAN       0307.11RRadio- und Fernsehtechniker             
848. KL-GLIED-PLAN       0307.11KMKomm.-el. - Telekommunikationstechnik          
849. KL-GLIED-PLAN       0304.11GIE - Gerätetechnik                      
850. KL-GLIED-PLAN       0307.12Kommunikationselektroniker-Informationstechnik          
851. KL-GLIED-PLAN       0307.11TKomm.-el. im Bereich der Telekom          
852. KL-GLIED-PLAN       0307.11IKommunikationselektr.-Informationstech.          
853. KL-GLIED-PLAN       0309.12TKomm.-el. im Bereich der Telekom          
854. KL-GLIED-PLAN       0309.12KKomm.-el. - Telekommunikationstechnik          
855. KL-GLIED-PLAN       0309.13TKomm.-el. im Bereich der Telekom          
856. KL-GLIED-PLAN       0311.13Radio- und Fernsehtechniker             
857. KL-GLIED-PLAN       0311.12Radio- und Fernsehtechniker             
858. KL-GLIED-PLAN       0312.11Büroinformationselektroniker            
859. KL-GLIED-PLAN       0310.13Fernmeldeanlagenelektroniker            
860. KL-GLIED-PLAN       0308.13Kommunikationselektroniker (Funktechnik)          
861. KL-GLIED-PLAN       0313.11Prozeßleitelektroniker                  
862. KL-GLIED-PLAN       0312.13Büroinformationselektroniker            
863. KL-GLIED-PLAN       0314.10Technische Zeichner - Elektro           
864. KL-GLIED-PLAN       0313.13Prozeßleitelektroniker                  
865. KL-GLIED-PLAN       0314.12Technische Zeichner - Elektro           
866. KL-GLIED-PLAN       0312.12Büroinformationselektroniker            
867. KL-GLIED-PLAN       2056.12Eisenbahner im Betriebsdienst           
868. KL-GLIED-PLAN       2056.11Eisenbahner im Betriebsdienst           
869. KL-GLIED-PLAN       2061.12Technische Zeichner - Elektrotechnik          
870. KL-GLIED-PLAN       2061.11Technische Zeichner - Elektrotechnik          
871. KL-GLIED-PLAN       2090.10Informations- u. Telekommunikationssystem-Elektroniker          
872. KL-GLIED-PLAN       2090.11Informations- u. Telekommunikationssystem-Elektroniker          
873. KL-GLIED-PLAN       2061.13Technische Zeichner - Elektrotechnik          
874. KL-GLIED-PLAN       2056.10Eisenbahner im Betriebsdienst           
875. KL-GLIED-PLAN       0325.10Fachkraft für Veranstaltungstechnik          
876. KL-GLIED-PLAN       0314.13Technische Zeichner - Elektro           
877. KLZ-TEXT            6    Klassenleiterin                         
878. KLZ-TEXT            5    Klassenleiter                           
879. KLZ-TEXT            2    Schulleiterin oder Vertretung           
880. KLZ-TEXT            4    Prüfungsvorsitzende                     
881. KLZ-TEXT            3    Prüfungsvorsitzender                    
882. KLZ-TEXT            1    Schulleiter oder Vertretung             
883. KLZ-TYP             A    Abschlußzeugnis                         
884. KLZ-TYP             Z    Zwischenzeugnis                         
885. KU-BT-TYP           0    Standard                                
886. KU-HEFT             48-01Kurs 48-01                              
887. KU-HEFT             47-A1Kurs 47 A1                              
888. KU-HEFT             51-F1Kurs F1                                 
889. KU-HEFT             51-E1Kurs 51 E1                              
890. KURSART             KÜ   Kündigung                               
891. LAUFB-ZUORD         SO   sonst. Dienstverhältnis                 
892. LAUFB-ZUORD         AB   AnwärterIn                              
893. LAUFB-ZUORD         GD   gehobener Dienst                        
894. LAUFB-ZUORD         HD   höherer Dienst                          
901. LEERW               WB   Weiterbildung (ohne staatl.Zuschuß)          
902. LEERW               EE   Englisch                                
903. LEERW               IN   Instrumentalgruppe                      
904. LEERW               M    Mathematik                              
905. LEERW               MK   Meisterkurs (ohne staatl.Zuschuß)          
906. LEERW               IT   Italienisch                             
907. LEERW               XE   Lehrg. ext. Erzieherprüfung             
909. LEERW               FA   Fachpraktische Anleitung                
910. LEERW               E    Ergänzungsunterricht                    
911. LEERW               EÜ   Englisch Übungen                        
912. LEERW               FO   Fotographie                             
913. LEERW               FU   Fachpraktische Unterweisung             
914. LEERW               FB   Fachpraktische Betreuung                
915. LEERW               I    Informatik                              
917. LEERW               SP   Sport                                   
918. LEERW               TH   Theatergruppe                           
919. LEERW               VO   Vorklasse / Vorstufe                    
920. LEERW               MU   Musische Erziehung                      
921. LEERW               SO   sonst. Unterricht                       
922. LEERW               VK   Vorkurs                                 
923. LEERW               KU   Kunst                                   
924. LEERW               FOE  Förderunterricht                        
925. LEERW               F    Französisch                             
926. LEFGR               FF   Fachbetreuer/in                         
927. LEFGR               DM   Mitarbeiter/in der Schulleitung          
928. LEFGR               FS   Stundenplanreferent/in                  
929. LEFGR               NX   sonst.münchn.Anrechnungen               
930. LEFGR               WX   sonst. genehmigte Anrechnungen          
931. LEFGR               PI   Abordnung an das Päd.Institut (nicht Step)          
932. LEFGR               WH   Tätigkeit in Schülerheim-Tagesheim          
933. LEFGR               WS   Mitwirkung an Schulversuch              
934. LEFGR               SA   sonst. Arbeitskreise                    
935. LEFGR               SL   Aufgaben der Lehrerfortbildung          
936. LEFGR               SB   Schulberatung München (nicht Step)          
937. LEFGR               SW   Sachwaltung                             
938. LEFGR               SP   Schulpsychologe/in                      
939. LEFGR               SZ   Schülerzeitung / Jahresbericht          
940. LEFGR               SI   Tätigkeit in Arbeitskreis am ISB          
941. LEFGR               WU   Abordnung an Hochschule                 
942. LEFGR               WE   Erteilung von Ethikunterricht           
943. LEFGR               PH   Personalrat/rätin Gesamt                
944. LEFGR               PB   Personalrat/rätin Referat               
945. LEFGR               OE   Oberstufenermäßigung                    
946. LEFGR               VB   Kontaktlehrkraft f. Ausbildungsbetriebe          
947. LEFGR               NU   besond.unterrichtl.Belastung            
